# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	10635
#@/user_id	e20759ef-d2df-41e6-b751-89c12cbdc2a3
a 	啊	c=20 d=2.54268 t=10412
ni 	你	c=37 d=1.06332 t=10516
ni bang wo 	你幫我	c=1 d=1 t=8542
ni bu shi 	你不是	c=2 d=1.17907 t=8222
ni bu xi huan 	你不喜歡	c=1 d=1 t=4427
ni de 	你的	c=8 d=1.0002 t=10397
ni deng 	你等	c=1 d=1 t=10093
ni fu xi 	你複習	c=1 d=1 t=10517
ni hai 	你還	c=1 d=1 t=4205
ni hao 	你好	c=7 d=1 t=9592
ni hui 	你會	c=1 d=1 t=6365
ni ji xu 	你繼續	c=2 d=1.87372 t=7528
ni jiu 	你就	c=1 d=1 t=3690
ni jiu shi 	你就是	c=1 d=1 t=4531
ni jue 	你覺	c=1 d=1 t=4991
ni jue de 	你覺得	c=2 d=1.12003 t=3751
ni kan 	你看	c=1 d=1 t=3705
ni kan yi xia 	你看一下	c=2 d=1.00001 t=10396
ni ke yi 	你可以	c=5 d=1.85302 t=5082
ni le 	你了	c=15 d=1.93178 t=10610
ni mei you 	你沒有	c=1 d=1 t=8872
ni men 	你們	c=4 d=1 t=8031
ni neng 	你能	c=5 d=1.0003 t=6548
ni she zhi 	你設置	c=1 d=1 t=6809
ni shen me 	你什麼	c=1 d=1 t=4520
ni shi 	你是	c=2 d=1.17728 t=4453
ni shi shi 	你試試	c=2 d=1.81465 t=5058
ni shuo 	你說	c=1 d=1 t=4659
ni shuo de 	你說的	c=1 d=1 t=4872
ni shuo shen me 	你說什麼	c=1 d=1 t=4203
ni xi huan 	你喜歡	c=1 d=1 t=4462
ni xia zhou 	你下週	c=1 d=1 t=6990
ni xian 	你先	c=1 d=1 t=3307
ni xu 	逆序	c=1 d=1 t=3835
ni yao shi 	你要是	c=3 d=2.87114 t=60
ni ye neng 	你也能	c=3 d=1.52522 t=4758
ni yong 	你用	c=0 d=0.1 t=7481
ni yong le 	你用了	c=1 d=1 t=7482
ni you 	你又	c=1 d=1 t=3674
ni zai 	你在	c=2 d=1.01641 t=5033
ni zhao 	你找	c=1 d=1 t=2412
ni zhao pian 	你照片	c=1 d=1 t=5067
ni zhi dao 	你知道	c=1 d=1 t=4926
ni zhuang 	你裝	c=1 d=1 t=4457
ni zi ji 	你自己	c=1 d=1 t=4536
nian 	年	c=6 d=1.00948 t=10035
nian tie 	粘貼	c=1 d=1 t=9464
nin 	您	c=2 d=1.09117 t=7310
niu dun 	牛頓	c=1 d=1 t=9126
nong 	弄	c=1 d=0.100004 t=10420
nong diu le 	弄丟了	c=1 d=1 t=8067
nong hao 	弄好	c=1 d=1 t=8967
nong le 	弄了	c=1 d=1 t=10524
nong qing chu 	弄清楚	c=1 d=1 t=10095
nong yi xia 	弄一下	c=2 d=1.83527 t=7892
nong yi xia wu 	弄一下午	c=1 d=1 t=10421
nu li 	努力	c=3 d=1.00053 t=7378
nv sheng 	女生	c=1 d=1 t=4028
nv xing 	女性	c=4 d=1.97173 t=3558
o 	哦	c=5 d=1.78326 t=9702
o o 	哦哦	c=17 d=4.59807 t=10633
pa chong 	爬蟲	c=1 d=1 t=2842
pai 	拍	c=1 d=1 t=9157
pai ban 	排版	c=3 d=1 t=9068
pai lie 	排列	c=1 d=1 t=9158
pai xu 	排序	c=7 d=2.94128 t=6866
pan 	盤	c=1 d=1 t=3361
pan duan 	判斷	c=9 d=1.32656 t=8365
pan zi 	盤子	c=2 d=1.99005 t=9615
pang 	胖	c=1 d=1 t=2880
pao hong 	炮轟	c=1 d=1 t=3935
pei ban 	陪伴	c=1 d=1 t=2854
pei he 	配合	c=1 d=1 t=12
pei li dao qian 	賠禮道歉	c=1 d=1 t=4343
pei se 	配色	c=1 d=1 t=9227
pei zhi 	配置	c=9 d=2.42704 t=9541
peng 	鵬	c=2 d=1 t=7967
pi chu li 	批處理	c=1 d=1 t=9466
pi pei 	匹配	c=3 d=1.14202 t=9848
pi pei fu 	匹配符	c=1 d=1 t=9742
pi ping 	批評	c=1 d=1 t=8886
pian 	片	c=1 d=1.10002 t=3045
pian 	篇	c=1 d=1 t=7422
pian duan 	片段	c=1 d=0.703506 t=6584
pian ke 	偏科	c=1 d=1 t=7344
pian leng men 	片冷門	c=1 d=1 t=1375
pian nei zong xian 	片內總線	c=1 d=1 t=3046
pin cou 	拼湊	c=1 d=1 t=3383
pin du 	拼讀	c=2 d=1.98511 t=8940
pin lv 	頻率	c=1 d=1 t=3032
ping 	平	c=2 d=1 t=9353
ping jia 	評價	c=2 d=1.90937 t=4876
ping jing 	瓶頸	c=1 d=1 t=2968
ping jun 	平均	c=1 d=1 t=7325
ping lun 	評論	c=7 d=1.6517 t=4947
ping lun qu 	評論區	c=7 d=2.60184 t=4775
ping mu 	屏幕	c=1 d=1 t=9361
ping shi 	平時	c=1 d=1.056 t=7145
ping shi cheng ji 	平時成績	c=1 d=1 t=7146
ping tai 	平臺	c=0 d=0.1 t=6480
ping yong 	平庸	c=1 d=1 t=3106
po jie 	破解	c=1 d=1 t=2831
po xi 	婆媳	c=1 d=1 t=2905
pou xi 	剖析	c=2 d=1.01364 t=1526
pu 	普	c=1 d=1 t=1861
pu ti 	菩提	c=0 d=0.1 t=4060
pu tong hua 	普通話	c=2 d=1.85642 t=4381
qi 	氣	c=1 d=1 t=8560
qi dao 	起到	c=1 d=1 t=1694
qi dong 	啓動	c=4 d=3.95888 t=9303
qi dong yi hou 	啓動以後	c=1 d=1 t=9283
qi hang 	啓航	c=1 d=1 t=1633
qi huan 	奇幻	c=1 d=1 t=2837
qi ji 	奇蹟	c=1 d=1 t=3851
qi ji yin qiao 	奇技淫巧	c=1 d=1 t=875
qi kan 	期刊	c=4 d=3.55968 t=8051
qi lai 	起來	c=4 d=1.05313 t=9295
qi mo 	期末	c=2 d=1.90484 t=7085
qi mu 	其母	c=1 d=1 t=7083
qi qiu 	祈求	c=1 d=1 t=3731
qi shi 	其實	c=28 d=1.00472 t=10113
qi ta 	其他	c=8 d=1.00832 t=10402
qi ta ren 	其他人	c=3 d=1 t=8140
qi xiang 	氣象	c=0 d=0.1 t=3215
qi yong 	啓用	c=1 d=1 t=9421
qi yu 	其餘	c=1 d=1 t=2724
qi yuan 	起源	c=2 d=1.00064 t=5475
qi zhong 	其中	c=4 d=1.01795 t=9959
qian 	前	c=5 d=1.01917 t=9255
qian 	錢	c=2 d=1 t=10088
qian chu 	遷出	c=1 d=1 t=10550
qian dao 	遷到	c=1 d=1 t=10452
qian duan 	前端	c=2 d=1 t=5542
qian hui lai 	遷回來	c=1 d=1 t=10467
qian ji tian 	前幾天	c=1 d=1 t=47
qian jin 	前進	c=2 d=1 t=9863
qian liang pian 	前兩篇	c=1 d=1 t=7386
qian mian 	前面	c=1 d=1 t=8584
qian qu 	前驅	c=1 d=0.978095 t=2590
qian ren 	前人	c=1 d=1 t=5865
qian ru shi 	嵌入式	c=3 d=1 t=9912
qian tao 	嵌套	c=1 d=1 t=679
qian ti 	前提	c=1 d=1 t=851
qian ti xia 	前提下	c=1 d=1 t=2788
qian tian 	前天	c=1 d=1 t=6817
qian yan 	前沿	c=1 d=1 t=994
qian yan 	前言	c=7 d=1.00001 t=3657
qian yi 	遷移	c=1 d=1 t=662
qian zhui 	前綴	c=1 d=0.100113 t=9565
qian zhui jian 	前綴鍵	c=1 d=1 t=9566
qiang 	強	c=1 d=1 t=10293
qiang 	槍	c=0 d=0.1 t=2814
qiang hua 	強化	c=2 d=1 t=6012
qiang jun 	強軍	c=1 d=1 t=5007
qiang lian tong 	強連通	c=1 d=1 t=2796
qiang po 	強迫	c=1 d=1 t=6942
qiang xing 	強行	c=1 d=1 t=989
qiang zhi 	強制	c=1 d=1 t=6951
qiao 	巧	c=1 d=1 t=8916
qiao 	敲	c=1 d=0.100001 t=7247
qiao bu qi 	瞧不起	c=1 d=1 t=8878
qiao bu si 	喬布斯	c=4 d=3.14614 t=2939
qiao dai ma 	敲代碼	c=1 d=1 t=7248
qiao hui 	敲會	c=1 d=1 t=7546
qiao qiao 	悄悄	c=1 d=1 t=1494
qie 	且	c=1 d=1 t=2881
qie ge 	切割	c=2 d=1 t=10272
qie huan 	切換	c=4 d=1.00001 t=9364
qie huan dao 	切換到	c=1 d=1 t=6506
qie pian 	切片	c=1 d=1 t=5687
qin lve 	侵略	c=1 d=1 t=5904
qing chu 	清楚	c=2 d=1.00029 t=4163
qing chu 	清除	c=1 d=1 t=3398
qing duo 	請多	c=1 d=1 t=6836
qing hua 	清華	c=26 d=2.1045 t=10542
qing kong 	清空	c=1 d=1 t=6933
qing kuang 	情況	c=2 d=1 t=8363
qing kuang xia 	情況下	c=2 d=1.02128 t=1296
qing ni 	請你	c=1 d=1 t=4402
qing qiu 	請求	c=1 d=1 t=3060
qing shu ru 	請輸入	c=4 d=1 t=9612
qing song 	輕鬆	c=1 d=1 t=8238
qing wen 	請問	c=2 d=1 t=9604
qing wu 	請勿	c=2 d=0.1 t=5752
qing wu xiang xin 	請勿相信	c=1 d=1 t=5753
qing xi 	清晰	c=1 d=1 t=8026
qing xing 	情形	c=1 d=1 t=6939
qing yong 	請用	c=3 d=2.69581 t=2369
qiu 	求	c=2 d=1 t=9583
qiu 	秋	c=3 d=1.00043 t=7848
qiu he 	求和	c=2 d=1 t=9895
qu 	區	c=1 d=1 t=6914
qu 	去	c=6 d=1.05366 t=8266
qu bie 	區別	c=3 d=1.02612 t=10597
qu chu 	去除	c=1 d=1 t=10273
qu de 	取得	c=1 d=1 t=7093
qu diao 	去掉	c=1 d=1 t=986
qu dong 	驅動	c=1 d=1 t=8306
qu fen 	區分	c=2 d=1.99501 t=6384
qu gen 	曲根	c=1 d=1 t=1637
qu jian 	區間	c=1 d=1 t=944
qu jue yu 	取決於	c=1 d=1 t=1198
qu kuai 	區塊	c=2 d=2.03885 t=8686
qu kuai lian 	區塊聯	c=1 d=1 t=8629
qu kuai lian 	區塊鏈	c=5 d=3.53572 t=8816
qu le 	去了	c=1 d=1 t=7913
qu ni 	娶你	c=1 d=1.09048 t=7873
qu ni na li 	娶你哪裏	c=1 d=1 t=7854
qu nian 	去年	c=2 d=1.98511 t=10168
qu tan 	趣談	c=1 d=1 t=5538
qu wen wen 	去問問	c=1 d=1 t=8267
qu xian 	曲線	c=2 d=1 t=4112
qu xiao 	取消	c=2 d=1 t=9630
quan 	全	c=2 d=0.122726 t=7667
quan 	圈	c=1 d=1 t=10016
quan 	拳	c=1 d=1 t=4006
quan 	權	c=0 d=0.1 t=2168
quan bu 	全部	c=6 d=1.01962 t=9379
quan bu wei 	全部爲	c=1 d=1 t=2475
quan jia qi lai 	全加起來	c=1 d=1 t=7668
quan ju 	全局	c=1 d=1 t=2408
quan ping 	全屏	c=2 d=1.92774 t=9432
quan wei 	權威	c=1 d=1 t=10294
quan wen 	全文	c=1 d=1 t=9637
quan xin 	全新	c=1 d=1 t=6024
quan xuan 	全選	c=1 d=1 t=5018
quan zhi 	權值	c=10 d=3.74971 t=2648
quan zhi lei xing 	權值類型	c=1 d=1 t=2169
que ding 	確定	c=2 d=0.160785 t=10485
que shi 	確實	c=1 d=1 t=4493
qun 	羣	c=1 d=1 t=7027
ran er 	然而	c=1 d=1 t=4527
ran hou 	然後	c=8 d=1.44553 t=8973
rang 	讓	c=4 d=1.00053 t=8190
rang ni 	讓你	c=2 d=1.88692 t=4102
rang ren 	讓人	c=1 d=1 t=2830
rang zi dan 	讓子彈	c=2 d=1.89583 t=5407
re du 	熱度	c=1 d=1 t=2808
ren 	人	c=10 d=1.18136 t=10409
ren cuo 	認錯	c=1 d=1 t=7306
ren gong 	人工	c=1 d=1 t=7254
ren he 	任何	c=1 d=1 t=8371
ren jia 	人家	c=1 d=1 t=403
ren men 	人們	c=1 d=1 t=3925
ren min 	人民	c=1 d=1 t=5413
ren shi 	認識	c=2 d=0.367541 t=4353
ren shou 	忍受	c=1 d=1 t=5517
ren shu 	人數	c=1 d=1 t=181
ren xing 	人性	c=2 d=1.70117 t=3254
ren yi 	任意	c=1 d=1 t=2757
ren yu 	人慾	c=1 d=1 t=3234
ren yuan 	人員	c=1 d=1 t=5233
ren zhe 	忍者	c=2 d=1.01955 t=4844
reng ran 	仍然	c=1 d=1 t=1263
ri 	日	c=0 d=0.1 t=3600
ri ben 	日本	c=6 d=1.86692 t=5509
ri chang 	日常	c=0 d=0.1 t=2865
ri chang ji lei 	日常積累	c=1 d=1 t=2866
ri jun 	日軍	c=2 d=1.00001 t=5924
ri qi 	日期	c=1 d=1 t=982
ri wei jun 	日僞軍	c=1 d=1 t=3601
ri yu 	日語	c=7 d=3.30758 t=2021
rong 	榮	c=2 d=0.700135 t=6035
rong liang 	容量	c=1 d=1 t=7624
rong ru men 	榮入門	c=1 d=1 t=6036
rong yi 	容易	c=2 d=1 t=9985
ru 	儒	c=0 d=0.1 t=3213
ru 	入	c=3 d=1 t=9462
ru dui 	入隊	c=1 d=1 t=2315
ru guo 	如果	c=34 d=1.69909 t=9921
ru guo shi 	如果是	c=2 d=1.33287 t=2354
ru guo shi pin 	如果視頻	c=1 d=1 t=1820
ru he 	如何	c=7 d=1.00852 t=10030
ru he rang 	如何讓	c=1 d=1 t=4000
ru jia 	儒家	c=1 d=1 t=3205
ru men 	入門	c=8 d=1.64834 t=6256
ru shi dao 	儒釋道	c=1 d=1 t=3214
ru xia 	如下	c=1 d=1 t=8862
ru xue 	儒學	c=1 d=1 t=3162
ru you 	如有	c=1 d=1 t=3399
ruan jian 	軟件	c=8 d=1.95966 t=7045
ruan jian gong cheng 	軟件工程	c=2 d=1.98511 t=7039
ruan ying 	軟硬	c=1 d=1 t=6103
ruan zhu 	軟著	c=2 d=1.9802 t=8016
san 	三	c=2 d=1.97045 t=10017
san bian 	三遍	c=1 d=1 t=5847
san da 	三大	c=2 d=1.00002 t=6209
san gen 	三根	c=1 d=1 t=4119
san guo 	三國	c=1 d=1 t=4117
san jiao 	三教	c=0 d=0.1 t=3212
san jiao he liu 	三教合流	c=1 d=1 t=3213
san lian 	三連	c=8 d=1.8957 t=9701
san mao 	三毛	c=1 d=1 t=4059
sao dang 	掃蕩	c=0 d=0.1 t=5920
sao ma 	掃嗎	c=1 d=1 t=7682
sao miao 	掃描	c=4 d=3.6066 t=8057
shan 	刪	c=1 d=1 t=7659
shan 	山	c=0 d=0.1 t=7657
shan chu 	刪除	c=26 d=1.94143 t=10483
shan chu le 	刪除了	c=0 d=0.1 t=4139
shan jian 	刪減	c=4 d=1.00059 t=7011
shan jian ban 	刪減版	c=1 d=1 t=5379
shan yi ge 	山一個	c=1 d=1 t=7658
shang 	上	c=13 d=0.965605 t=10635
shang 	傷	c=1 d=1 t=3099
shang 	商	c=1 d=1 t=1845
shang ban 	上班	c=1 d=1 t=6993
shang chuan 	上傳	c=4 d=1 t=4710
shang gu 	上古	c=6 d=1.84858 t=1797
shang kan 	上看	c=2 d=1.97045 t=6778
shang ke 	上課	c=2 d=1 t=7552
shang lai 	上來	c=2 d=1.11648 t=3691
shang mian 	上面	c=3 d=1.23621 t=7451
shang sheng 	上升	c=1 d=1 t=6356
shang tiao 	上條	c=1 d=1 t=4398
shang xia 	上下	c=4 d=1 t=9410
shang xia wen 	上下文	c=1 d=1 t=9749
shang xia zuo you 	上下左右	c=1 d=1 t=9519
shang xue 	上學	c=1 d=1 t=7942
shang yi ge 	上一個	c=5 d=1.77856 t=9553
shang yi ji 	上一級	c=1 d=1 t=9389
shao 	少	c=1 d=1 t=356
she bei 	設備	c=4 d=3.82551 t=3088
she ji 	射擊	c=1 d=1 t=3936
she ji 	設計	c=16 d=1.35262 t=10200
she ji dao 	涉及到	c=1 d=1 t=411
she ru 	舍入	c=1 d=1 t=3411
she wang 	奢望	c=1 d=1 t=8179
she zhi 	設置	c=6 d=2.09829 t=10302
shen 	深	c=2 d=1.10305 t=8687
shen du 	深度	c=5 d=0.787982 t=2935
shen du xue xi 	深度學習	c=1 d=1 t=2936
shen gui 	神鬼	c=1 d=1 t=4058
shen he 	審覈	c=5 d=1.26678 t=5523
shen he jun 	審覈君	c=1 d=1 t=5524
shen jing 	神經	c=1 d=1 t=7258
shen me 	什麼	c=15 d=2.22038 t=10601
shen qi 	神器	c=1 d=1 t=6442
shen qi 	神奇	c=1 d=1 t=4055
shen qing 	申請	c=2 d=1.12938 t=10127
shen ru 	深入	c=1 d=1 t=2839
shen ti 	身體	c=1 d=1 t=2113
shen zhi 	甚至	c=1 d=1 t=753
shen zhong 	慎重	c=1 d=1 t=841
sheng cheng 	生成	c=5 d=1.10149 t=10437
sheng cheng de 	生成的	c=1 d=1 t=10395
sheng cheng shu 	生成樹	c=3 d=1.36211 t=2800
sheng cheng wen jian 	生成文件	c=1 d=1 t=791
sheng huo 	生活	c=2 d=1 t=8096
sheng ji 	升級	c=3 d=1.99037 t=9509
sheng li 	勝利	c=1 d=1 t=5452
sheng lve 	省略	c=1 d=1 t=9211
sheng lve hao 	省略號	c=1 d=1 t=9885
sheng ming 	聲明	c=4 d=0.1 t=4179
sheng pi 	生僻	c=2 d=1.72253 t=7284
sheng tai 	生態	c=1 d=1 t=6157
sheng tang 	盛唐	c=0 d=0.1 t=3215
sheng tang qi xiang 	盛唐氣象	c=1 d=1 t=3216
sheng zhi qi 	生殖器	c=1 d=1 t=3559
shi 	事	c=1 d=1 t=3245
shi 	史	c=0 d=0.1 t=4928
shi 	師	c=2 d=0.1 t=9214
shi 	式	c=0 d=0.1 t=8914
shi 	是	c=115 d=2.49667 t=10635
shi 	時	c=10 d=1.0382 t=9544
shi bai 	失敗	c=2 d=1 t=4513
shi bie 	識別	c=4 d=1 t=7294
shi bu shi 	是不是	c=6 d=1.00022 t=10615
shi dao 	釋道	c=0 d=0.1 t=3213
shi de 	使得	c=1 d=1 t=2485
shi de 	是的	c=2 d=1.00026 t=8989
shi fang 	釋放	c=1 d=1 t=9721
shi fou 	是否	c=4 d=1.14156 t=6639
shi ge 	十個	c=1 d=1 t=138
shi he 	適合	c=2 d=1 t=6491
shi hen 	是很	c=0 d=0.1 t=4484
shi hen ji zhong 	是很集中	c=1 d=1 t=4485
shi hou 	時候	c=20 d=1.03804 t=10559
shi hui 	實惠	c=1 d=1 t=4264
shi ji 	實際	c=1 d=1 t=9055
shi jian 	事件	c=3 d=1 t=5513
shi jian 	實踐	c=1 d=1 t=10260
shi jian 	時間	c=22 d=3.93166 t=9304
shi jian chang 	時間長	c=1 d=1 t=6710
shi jie shi da 	失節事大	c=1 d=1 t=3247
shi juan 	試卷	c=1 d=1 t=7098
shi jue 	視覺	c=1 d=1 t=5205
shi liang 	矢量	c=1 d=1 t=9893
shi liang tu 	矢量圖	c=1 d=1 t=218
shi pin 	視頻	c=72 d=2.74605 t=10046
shi pin hao 	視頻號	c=2 d=1.39653 t=4962
shi pu ti 	師菩提	c=1 d=1 t=4061
shi qi 	時期	c=1 d=1 t=3546
shi qing 	事情	c=10 d=1.67372 t=10140
shi shen me 	是什麼	c=1 d=1 t=3596
shi shi 	事實	c=1 d=1 t=3898
shi shi 	試試	c=5 d=1 t=10583
shi ti 	試題	c=2 d=1.95123 t=7086
shi ting 	試聽	c=0 d=0.1 t=6588
shi ting ke 	試聽課	c=1 d=1 t=6589
shi wei le 	是爲了	c=1 d=1 t=4811
shi wo 	是我	c=2 d=1 t=7634
shi xi 	實習	c=1 d=1 t=8205
shi xian 	事先	c=3 d=1.00951 t=5169
shi xian 	實現	c=12 d=1.50136 t=9766
shi xiao 	失效	c=2 d=1 t=9602
shi ya 	是呀	c=1 d=1 t=9106
shi yan 	實驗	c=1 d=1 t=9107
shi yi 	十一	c=3 d=1.996 t=10167
shi yi xia 	試一下	c=1 d=1 t=10217
shi yin wei 	是因爲	c=1 d=1 t=10117
shi ying 	適應	c=1 d=1 t=8603
shi yong 	使用	c=74 d=1.96042 t=10635
shi you 	是有	c=1 d=1 t=8700
shi you 	是由	c=1 d=1 t=2732
shi you 	石油	c=1 d=1 t=2041
shi zai 	是在	c=1 d=1 t=4855
shi zhan 	實戰	c=5 d=1 t=9529
shi zhe 	試着	c=1 d=1 t=1081
shi zhe ge 	是這個	c=1 d=1 t=4873
shi zhe yang de 	是這樣的	c=1 d=1 t=4494
shi zhen 	失真	c=1 d=1 t=221
shi zhong 	時鐘	c=1 d=1 t=3031
shi zhuan zai 	是轉載	c=1 d=1 t=4564
shi zi 	十字	c=3 d=2.71719 t=2258
shi zi jun 	十字軍	c=1 d=1 t=4895
shi zi lian biao 	十字鏈表	c=1 d=1 t=2233
shou 	手	c=1 d=1 t=4051
shou ba shou 	手把手	c=3 d=1.33729 t=6437
shou cang 	收藏	c=3 d=1.00001 t=3423
shou ce 	手冊	c=2 d=1 t=6843
shou dong 	手動	c=3 d=1 t=9305
shou duan 	手段	c=1 d=1 t=4989
shou huo 	收穫	c=1 d=1 t=1699
shou ji 	手機	c=2 d=1 t=9737
shou ji 	收集	c=1 d=1 t=2874
shou xian 	首先	c=1 d=1 t=4446
shu 	數	c=1 d=0.1 t=9219
shu 	書	c=2 d=1.00034 t=7865
shu 	樹	c=2 d=1.00004 t=3600
shu chu 	輸出	c=10 d=2.10771 t=10300
shu dian 	數點	c=1 d=1 t=1409
shu fa 	書法	c=43 d=1 t=8980
shu fu 	舒服	c=1 d=1 t=8121
shu hou 	書後	c=0 d=0.1 t=3317
shu hou xi ti 	書後習題	c=1 d=1 t=3318
shu ji 	書籍	c=9 d=2.95556 t=10018
shu ju 	數據	c=9 d=2.9025 t=9585
shu ju jie gou 	數據結構	c=11 d=2.78324 t=10252
shu ju jing zheng 	數據競爭	c=1 d=1 t=1220
shu ju ku 	數據庫	c=1 d=1 t=81
shu ju lei xing 	數據類型	c=2 d=1 t=10295
shu ju xian 	數據線	c=1 d=1 t=3085
shu li 	數理	c=1 d=1 t=3819
shu li 	樹立	c=1 d=0.140155 t=3817
shu li tong ji 	樹立統計	c=1 d=1 t=3818
shu ma 	數碼	c=1 d=1 t=4056
shu mu 	數目	c=2 d=1 t=9614
shu qian 	書籤	c=4 d=1.19952 t=7062
shu ru 	輸入	c=8 d=2.09682 t=9871
shu ru chuan 	輸入串	c=1 d=1 t=9811
shu ru shu chu 	輸入輸出	c=1 d=1 t=3080
shu shang 	書上	c=1 d=1 t=9598
shu xiang 	豎向	c=1 d=1 t=9356
shu xie 	書寫	c=1 d=1 t=5531
shu xue 	數學	c=16 d=1.25928 t=10257
shu xue fen xi 	數學分析	c=1 d=1 t=2923
shu yu 	屬於	c=2 d=1 t=9961
shu yuan 	書院	c=1 d=1 t=3495
shu zhi 	數值	c=1 d=1 t=6071
shu zi 	數字	c=4 d=1 t=10304
shu zu 	數組	c=5 d=1 t=6753
shua xin 	刷新	c=1 d=0.273774 t=10587
shuai 	帥	c=1 d=1 t=7957
shuang mian 	雙面	c=1 d=1 t=9071
shui 	水	c=1 d=1 t=4050
shui 	誰	c=4 d=1.29779 t=7162
shui ping 	水平	c=1 d=1 t=7197
shui yin 	水印	c=4 d=2.96536 t=7975
shun shi zhen 	順時針	c=1 d=1 t=3624
shun xu 	順序	c=3 d=1 t=9667
shun yan 	順眼	c=1 d=1 t=3706
shuo 	說	c=10 d=1.00018 t=10621
shuo chu 	說出	c=2 d=1.9802 t=3745
shuo dao zuo dao 	說到做到	c=1 d=1 t=4104
shuo de 	說的	c=1 d=1 t=4351
shuo dian 	說點	c=1 d=1 t=7113
shuo hua 	說話	c=2 d=1.92774 t=4538
shuo le 	說了	c=1 d=1 t=4303
shuo ming 	說明	c=4 d=0.100001 t=10248
shuo san bian 	說三遍	c=3 d=1 t=5748
shuo yi sheng 	說一聲	c=1 d=1 t=4449
shuo yi xie 	說一些	c=1 d=1 t=4753
si 	四	c=2 d=1.00016 t=10020
si chao 	思潮	c=1 d=1 t=4909
si ji 	四級	c=16 d=1.19236 t=9028
si kao 	思考	c=1 d=0.225556 t=4607
si kao yi xia 	思考一下	c=1 d=1 t=4608
si liu ji 	四六級	c=6 d=1.5502 t=7540
si shu 	四書	c=0 d=0.1 t=3139
si shu ji zhu 	四書集註	c=1 d=1 t=3140
si suo 	死鎖	c=5 d=1 t=7054
si tan fu 	斯坦福	c=1 d=1 t=3107
si wei 	思維	c=1 d=1 t=8509
si xia 	私下	c=1 d=1 t=4612
si xia li 	私下裏	c=1 d=1 t=4734
si xin 	私信	c=1 d=1 t=4747
si you 	私有	c=1 d=1 t=8771
song 	宋	c=1 d=1 t=7573
song dai 	宋代	c=1 d=1 t=3173
song ming 	宋明	c=1 d=1 t=3117
sou gou 	搜狗	c=1 d=1 t=6876
sou suo 	搜索	c=9 d=3.12418 t=9627
su 	速	c=1 d=0.115843 t=9747
su cai 	素材	c=1 d=1 t=2858
su cheng 	速成	c=1 d=1 t=168
su dong 	速凍	c=1 d=1 t=6244
su du 	速度	c=4 d=1 t=6233
su du man 	速度慢	c=1 d=1 t=1036
su lian 	蘇聯	c=1 d=1 t=3991
su zhi 	素質	c=2 d=1 t=9269
suan 	算	c=1 d=0.766977 t=7414
suan fa 	算法	c=20 d=1.10128 t=9569
suan hao 	算好	c=0 d=0.1 t=7440
sui bian 	隨便	c=1 d=1 t=8697
sui ran 	雖然	c=7 d=0.927743 t=10635
sui shu 	隨書	c=12 d=1.79506 t=8998
sui tang 	隋唐	c=1 d=1 t=3212
sun yan chun 	孫豔春	c=1 d=1 t=7038
suo jin 	縮進	c=1 d=1 t=9218
suo ni 	索尼	c=1 d=1 t=3778
suo xiao 	縮小	c=1 d=1 t=6597
suo yi 	所以	c=16 d=0.99005 t=10635
suo yin 	索引	c=1 d=1 t=6350
suo yong 	所用	c=2 d=1 t=6312
suo you 	所有	c=11 d=2.04239 t=9837
suo you ren 	所有人	c=1 d=1 t=8773
suo zai 	所在	c=2 d=1.00185 t=9664
ta 	他	c=8 d=0.217844 t=10532
ta 	塔	c=0 d=0.1 t=9621
ta 	她	c=1 d=1 t=2575
ta de 	他的	c=1 d=1 t=4946
ta men 	他們	c=0 d=0.1 t=5411
ta men shi 	他們是	c=1 d=1 t=3126
ta men wei 	他們爲	c=1 d=1 t=5412
ta na bian 	他那邊	c=1 d=1 t=10158
ta neng 	他能	c=1 d=1 t=4791
ta ren 	他人	c=0 d=0.1 t=4435
ta shi 	他是	c=1 d=1 t=3278
ta ti shi 	他提示	c=1 d=1 t=10533
ta you 	他有	c=1 d=1 t=7711
tai 	太	c=1 d=1 t=6621
tai cai 	太菜	c=1 d=1 t=7458
tai duo 	太多	c=3 d=1 t=8180
tai duo le 	太多了	c=1 d=1 t=3325
tai er zhuang 	臺兒莊	c=2 d=1.22537 t=5897
tai hang 	太行	c=2 d=1.42741 t=5598
tai hang shan 	太行山	c=1 d=1 t=5286
tai ji quan 	太極拳	c=1 d=1 t=5805
tai lei le 	太累了	c=1 d=1 t=8564
tai ma fan 	太麻煩	c=1 d=1 t=7684
tai ping yang 	太平洋	c=1 d=1 t=5922
tai re 	太熱	c=1 d=1 t=9144
tai wan 	臺灣	c=2 d=1.26054 t=383
tai yang 	太陽	c=1 d=1.0029 t=6090
tai yang xing 	太陽星	c=1 d=1 t=5383
tan 	談	c=0 d=0.1 t=2058
tan 	譚	c=0 d=0.1 t=10290
tan chu 	彈出	c=1 d=1.00005 t=6576
tan hao qiang 	譚好強	c=1 d=1 t=10291
tan suo 	探索	c=1 d=1 t=2929
tan xing 	彈性	c=1 d=1 t=1325
tan yi chang 	談一場	c=1 d=1 t=2059
tan yue 	探月	c=1 d=1 t=3788
tan zi 	談資	c=0 d=0.1 t=3925
tang 	唐	c=1 d=1 t=8601
tang 	堂	c=1 d=1 t=4098
tang chi 	湯遲	c=1 d=1 t=8600
